ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
4.76,3.56,1.59,0.73,3.7,14.8,FALSE,22.2,6.6,1.89,3,7.36,0,65.7,93.4,59,0,608718,56.9,69.3,59.9,51.2,42.3,season,,,L,Brent Suter,LAA,L14 file or pitcher row missing -- using season data.
2.56,3.91,1.28,0.65,4.34,21.2,TRUE,4,4.25,5.12,11,4.1,1.2,42.2,103,34.7,2,615698,45.4,35.9,45.9,57.5,76,L14,1.24,2.08,R,Cal Quantrill,TEX,K% drift 12.6 pts (season 18.5 -> L14 31.1); BB% drift 6.0 pts (season 6.0 -> L14 0.0); HR/9 drift 0.40 (season 1.10 -> L14 1.50)
13.5,4.97,0,0.53,4.69,16.7,FALSE,16.7,16.2,1.33,1,13.5,,48,95.7,53.9,1,621097,61.2,46,52.4,53.2,30,season,,,R,Jacob Waguespack,DET,Fewer than 2 L14 starts (1) -- using season data.
2.45,4.46,2.45,0.89,2.01,41.2,FALSE,11.8,5.4,3.67,1,,2.45,27.6,102.7,9.8,0,621107,42.3,26.9,38,47.3,74,season,2.45,,R,Zach Eflin,BAL,L14 file or pitcher row missing -- using season data.
4.66,4.21,1.16,0.74,4.13,19.9,TRUE,8.8,4.53,4.86,27,5.23,4.15,42.5,99.6,30.4,2,621111,48.4,46.1,49.2,53.4,82.1,L14,4.78,5.85,R,Walker Buehler,SDP,BB% drift 8.8 pts (season 8.8 -> L14 0.0); HR/9 drift 1.29 (season 1.17 -> L14 2.45)
3,3.54,3,0.55,3.85,23.1,FALSE,15.4,4.5,1.5,2,4.5,0,37.3,106.5,17.3,0,621112,58.1,33.4,44.8,48.3,29.5,season,0,,R,Paul Blackburn,NYY,L14 file or pitcher row missing -- using season data.
6.86,4.83,1.6,0.82,4.31,25,FALSE,12.8,7.88,4.92,8,7.53,6.48,57.1,102,44.5,0,621121,44.5,57.4,54.6,58.7,87,season,5.4,12.91,R,Lance McCullers Jr.,HOU,L14 file or pitcher row missing -- using season data.
9,5.38,0,1,4.56,33.3,FALSE,33.3,9,1,1,9,,75.2,90.7,54.5,0,621383,71.8,74.6,68.1,58.1,28,season,,9,L,Tanner Banks,PHI,L14 file or pitcher row missing -- using season data.
5.29,4.75,1.87,0.82,4.41,19.2,TRUE,6.9,6.22,5.03,22,5.72,4.6,50.2,100.5,37.5,2,622491,46.8,49.1,51.8,58.5,91.3,L14,5.56,4.22,R,Luis Castillo,CHW,K% drift 8.9 pts (season 19.4 -> L14 10.5); HR/9 drift 4.11 (season 1.70 -> L14 5.81)
4.16,4.38,1.29,0.78,4.17,24,FALSE,11.4,5.4,5.22,12,3.38,5.33,40.8,100.5,41.2,0,622663,43.2,42,49,61.2,90.5,season,3.79,3,R,Luis Severino,ATH,L14 file or pitcher row missing -- using season data.
5.14,3.8,1.29,0.62,4.17,12.5,FALSE,21.9,4.2,1.17,6,7.71,0,41.9,95.4,32.4,0,623211,44.2,49.3,46.5,45.1,23,season,7.71,0,R,Huascar Brazobán,NYM,L14 file or pitcher row missing -- using season data.
6,8.1,3,0.86,5.14,14.3,FALSE,14.3,5.4,3,1,6,,25.9,90.7,15.4,0,623381,27.2,20.8,40.9,73.6,56,season,6,,L,Thomas Pannone,MIL,L14 file or pitcher row missing -- using season data.
2.29,3.95,1.02,0.72,3.77,23.8,TRUE,11.6,2.25,4.42,8,2.65,1.96,53.7,103,42,3,623454,50,52,54.8,61.4,70.2,L14,1.2,0,R,Drew Anderson,DET,K% drift 4.5 pts (season 25.7 -> L14 21.2); BB% drift 2.7 pts (season 9.4 -> L14 12.1)
3,4.98,0,0.86,5.03,25,FALSE,8.3,3,1,3,4.5,0,46.2,97.8,33.8,0,623474,41,49.5,48.3,52.3,16,season,,,R,Jimmy Herget,COL,L14 file or pitcher row missing -- using season data.
3.64,2.96,0.58,0.66,3.72,23.1,TRUE,7.6,3.98,5.15,24,3.25,4.14,45.4,95.6,43.3,2,624133,42.5,43.5,45.8,50.7,83.9,L14,2.86,5.06,L,Ranger Suarez,BOS,K% drift 10.8 pts (season 23.1 -> L14 12.2); BB% drift 4.7 pts (season 7.6 -> L14 12.2); HR/9 drift 0.31 (season 0.58 -> L14 0.89)
3.81,4.29,1.45,0.73,4.33,22.2,FALSE,9,3.93,4.52,11,3.7,3.91,45.7,97.5,33.2,0,625643,41.9,41.9,47.4,57.5,77.7,season,3.03,36,R,Reynaldo López,ATL,L14 file or pitcher row missing -- using season data.
4.54,4.28,1.69,0.82,4.41,20.8,TRUE,6.5,4.2,5.69,15,4.57,4.5,52.2,95.8,45.5,3,640455,50.3,49,50.5,52.4,92.7,L14,3.96,4.7,L,Sean Manaea,NYM,K% drift 10.6 pts (season 21.7 -> L14 11.1); BB% drift 2.4 pts (season 7.3 -> L14 4.9); HR/9 drift 1.27 (season 1.47 -> L14 2.74)
1.8,2.7,0,0.67,3.92,27.8,FALSE,5.6,2.7,1.25,4,0,4.5,37.1,89.6,33.4,0,641302,38.1,41.9,40.9,41.9,20.2,season,0,,L,Tyler Alexander,TEX,L14 file or pitcher row missing -- using season data.
4.3,4.33,1.25,0.76,4.5,19.4,TRUE,8,4.78,4.99,26,5.25,3.44,47.6,95.9,40.3,3,641743,52.3,51,52.2,53.6,88,L14,4.28,3.6,L,Anthony Kay,CHW,HR/9 drift 0.63 (season 1.25 -> L14 1.88)
5.28,5.86,2.09,0.8,5.48,15.6,FALSE,6.9,5.7,5.02,18,6,4.66,39.1,96.1,28.2,1,641778,43,41.8,44,47.3,84.2,season,3.76,13.5,L,Eric Lauer,LAD,Fewer than 2 L14 starts (1) -- using season data.
6.18,6,2.69,0.84,5.39,13.6,FALSE,8.6,6.56,4.79,14,6.57,5.95,45,98.9,37.1,0,641793,48.1,45.8,50.8,58.4,79.1,season,6.52,5.4,R,Zack Littell,WSN,L14 file or pitcher row missing -- using season data.
4.25,3.94,1.22,0.73,3.93,23.2,TRUE,8.1,3.99,5.43,23,6.16,2.4,44.6,98.7,33,2,641816,49.1,49.9,49.8,50.2,87.9,L14,5.74,0.96,R,Tyler Mahle,ATL,BB% drift 3.9 pts (season 8.1 -> L14 4.2); HR/9 drift 0.42 (season 1.22 -> L14 0.80)
1.42,3.18,0,0.64,3.24,23.1,FALSE,3.8,2.25,1.58,4,3.86,0,55,103.4,44.7,0,641835,33.8,47.1,52.3,71.3,25.8,season,0,9,L,Tim Mayza,PHI,L14 file or pitcher row missing -- using season data.
4.37,4.59,1.43,0.73,4.77,16.6,TRUE,6.5,4.46,5.4,21,6.2,3.16,51.6,100.7,41.7,2,641927,51.7,50.2,52.4,55.5,85.6,L14,3.05,5.87,R,Bailey Ober,MIN,BB% drift 5.4 pts (season 6.5 -> L14 11.9); HR/9 drift 0.53 (season 1.43 -> L14 0.90)
2.25,3.62,0,0.75,3.88,12.5,FALSE,6.2,0.9,2,2,0,4.5,54.8,95.5,37.1,0,642121,52.3,48.3,53.5,60.5,31.5,season,4.5,,R,Cole Sulser,TBR,L14 file or pitcher row missing -- using season data.
0,3.55,0,0.64,5,10,FALSE,0,0,2.67,1,,0,98.5,102.3,57.3,0,642232,59.3,82.9,68.7,59.2,36,season,,0,L,Ryan Yarbrough,NYY,L14 file or pitcher row missing -- using season data.
4.96,4.33,1.41,0.77,4.31,21.8,TRUE,8.4,5.27,5.25,28,6.19,3.89,49.1,101.1,39.2,3,642547,46.6,51.3,51.5,55.4,92.5,L14,6.37,4.55,R,Freddy Peralta,TBR,BB% drift 7.0 pts (season 8.4 -> L14 1.4)
3.37,3.91,1.16,0.72,3.52,25.9,FALSE,7.1,4.17,4.49,19,3.32,3.42,44.3,99.6,40.6,1,643377,45.6,43.4,49.2,58.4,67.5,season,2.93,4.5,R,Griffin Jax,TBR,Fewer than 2 L14 starts (1) -- using season data.
3.46,3.65,0.85,0.66,4.16,17.9,TRUE,6.4,3.66,6.54,29,4.22,2.58,44.2,100.6,32.6,2,645261,47.2,45.8,49.3,54.8,98.7,L14,3.08,3.5,R,Sandy Alcantara,MIA,HR/9 drift 0.85 (season 0.85 -> L14 0.00)
4.5,2.69,0,0.61,4.97,11.1,FALSE,0,1.8,2,1,,4.5,50.6,86.8,19.7,0,647315,60.1,40.6,43.5,35,37,season,4.5,,R,Zach Pop,PHI,L14 file or pitcher row missing -- using season data.
3.4,2.76,0.57,0.66,3.89,23,FALSE,6.1,3.9,5.3,18,4.35,2.73,40.6,101,32.9,1,647336,44.9,45.2,47.8,52.8,85.1,season,3.16,7.31,R,Michael Soroka,ARI,Fewer than 2 L14 starts (1) -- using season data.
3.11,3.97,1,0.65,4.35,21.3,TRUE,9.5,2.57,5.79,28,3.29,2.94,51.4,99.7,35.7,2,650633,49.7,52.9,53.9,58.1,93,L14,3.3,3.72,R,Michael King,SDP,HR/9 drift 1.00 (season 1.00 -> L14 0.00)
5.1,4.61,1.99,0.83,4.69,16.5,FALSE,6.7,5.04,4.82,15,3.6,6.96,41,101.3,36.4,0,650644,41.2,42,50.1,65.7,83.6,season,5.44,1.8,R,Aaron Civale,ATH,L14 file or pitcher row missing -- using season data.
2.52,2.5,0.72,0.65,2.49,27.8,TRUE,5.4,3.09,6.26,28,3.68,1.68,52,98.5,40.1,2,650911,40.7,47.9,49.4,57.2,95.5,L14,1.65,5.06,L,Cristopher Sánchez,PHI,BB% drift 3.5 pts (season 5.4 -> L14 1.9)
6.79,4.66,1.61,0.81,4.18,23.1,FALSE,11.8,6.05,4.58,11,10.07,4.7,60.2,101,43.1,0,656288,52.8,59.2,58.7,62.3,78.1,season,5.23,7.88,R,Griffin Canning,SDP,L14 file or pitcher row missing -- using season data.
2.25,2.35,0.58,0.53,2.69,35.5,TRUE,10.5,2.63,6.01,26,1.54,2.91,49.4,101.2,37.9,3,656302,46.1,50.2,51,55.5,101.3,L14,1.88,2.25,R,Dylan Cease,TOR,K% drift 6.5 pts (season 35.5 -> L14 29.0)
4.59,3.85,1.15,0.75,4.31,26.2,FALSE,10.8,4.83,4.54,19,4.5,4.66,40.8,97.8,30.5,0,656427,45.4,41.7,44.7,47.7,86.3,season,5.28,6.75,R,Jack Flaherty,DET,L14 file or pitcher row missing -- using season data.
13.5,8.1,0,1.32,6.55,25,FALSE,0,12.6,0.67,1,13.5,,15.8,90,21.1,0,656457,34.6,24.7,30,32.8,17,season,13.5,,L,Tyler Gilbert,CHW,L14 file or pitcher row missing -- using season data.
3.21,3.99,1.34,0.69,3.87,22.1,TRUE,6.2,3.73,5.72,27,3.14,3.28,45.3,95.2,35.8,2,656492,43.8,43.9,48.1,56,93.1,L14,3.5,1.8,L,Foster Griffin,CLE,BB% drift 3.6 pts (season 6.2 -> L14 9.8); HR/9 drift 1.34 (season 1.34 -> L14 0.00)
