xwoba,pitches,csw_rate,avg_pfx_x,avg_pfx_z,pitch_pct,team_abbr,zone_rate,chase_rate,pitch_name,pitch_type,whiff_rate,batting_avg,avg_spin_rate,avg_launch_speed,avg_release_speed,in_zone_swing_rate
0,18,0,0,0,0.66,BAL,0,0,Unknown,UNK,0,0,0,0,0,0
0.27,14,42.86,-0.66,-0.88,0.52,BAL,7.14,69.23,Slurve,SV,60,0.29,2996.5,84.8,80.09,100
0.7,13,61.54,1.06,-1.21,0.48,BAL,69.23,25,Knuckle Curve,KC,33.33,0,2808.15,90.8,83.11,22.22
0.33,839,27.65,-0.15,1.29,28.55,BOS,56.73,26.17,4-Seam Fastball,FF,19.15,0.26,2316.4,81.8,95.25,68.91
0.37,574,29.09,-0.72,0.45,19.53,BOS,53.83,26.42,Sinker,SI,9.54,0.28,2200.39,86.86,94.64,55.34
0.32,346,31.79,0.73,0.03,11.77,BOS,50.87,34.71,Sweeper,ST,20.39,0.27,2634.75,78.65,83.07,52.84
0.27,318,16.98,-0.07,0.18,10.82,BOS,27.99,44.54,Changeup,CH,24,0.29,1715.22,80.42,86.33,82.02
0.27,293,31.06,-0.04,0.07,9.97,BOS,40.27,36,Slider,SL,36.11,0.17,2396.96,78.71,85.96,68.64
0.34,256,31.25,0.17,0.69,8.71,BOS,44.14,26.57,Cutter,FC,28.7,0.21,2269.64,84.57,89.74,61.95
0.27,201,27.36,0.25,-1.02,6.84,BOS,40.3,30,Curveball,CU,23.75,0.17,2627.64,79.7,80.88,54.32
0.24,55,29.09,-0.57,0.12,1.87,BOS,25.45,63.41,Split-Finger,FS,33.33,0.14,1100.98,76.51,86.61,71.43
0.07,28,28.57,0.59,-1.09,0.95,BOS,35.71,22.22,Knuckle Curve,KC,0,0.5,2464.57,85.77,85.53,20
0,20,0,0,0,0.68,BOS,0,0,Unknown,UNK,0,0,0,0,0,0
0.09,7,71.43,0.61,-0.9,0.24,BOS,28.57,100,Slurve,SV,60,0,2656.86,72.5,87.97,0
0,2,0,-1.19,0.97,0.07,BOS,0,0,Pitch Out,PO,0,0,2269,0,91.5,0
0.35,833,21.97,0.01,1.25,28.65,CHC,53.3,29.31,4-Seam Fastball,FF,12.76,0.27,2385.3,81.31,94.76,73.2
0.33,441,29.25,-0.23,0.56,15.17,CHC,60.54,23.56,Sinker,SI,8.85,0.28,2276.86,83.5,95.78,56.55
0.27,354,21.19,0.19,0.29,12.17,CHC,30.51,38.21,Changeup,CH,27.68,0.19,1900.12,77.72,87.05,76.85
0.35,320,31.25,0.3,0.13,11,CHC,38.44,35.03,Slider,SL,38.16,0.27,2548.93,85.69,88.12,67.48
0.4,222,31.08,0.04,0.61,7.63,CHC,50.45,18.18,Cutter,FC,27.91,0.16,2460.83,83.17,90.41,58.93
0.19,202,26.24,0.3,-0.05,6.95,CHC,46.53,35.19,Sweeper,ST,21.05,0.28,2720.62,77.57,82.83,60.64
0.57,143,31.47,0.22,-0.7,4.92,CHC,51.75,15.94,Curveball,CU,14.58,0.46,2673.92,86.01,82,50
0.53,102,21.57,0.26,1.58,3.51,CHC,25.49,31.58,Eephus,EP,8.7,0.53,1084.41,88.7,43.41,84.62
0.5,96,14.58,0.46,0.77,3.3,CHC,16.67,25,Knuckleball,KN,17.65,0.73,696.38,79.66,47.56,87.5
0.63,92,23.91,-0.25,-0.21,3.16,CHC,34.78,23.33,Slurve,SV,27.78,0.44,2090.72,84.12,82.06,68.75
0.3,52,21.15,-0.82,0.35,1.79,CHC,34.62,38.24,Split-Finger,FS,25.93,0.17,1124.92,84.13,86.32,77.78
0.34,22,18.18,0.37,-1.17,0.76,CHC,27.27,50,Knuckle Curve,KC,16.67,0.33,2382.91,80.64,83.01,66.67
0.41,20,10,-0.42,0.92,0.69,CHC,40,66.67,Other,FA,12.5,0.75,1798.1,73.5,69.26,100
0,8,0,0,0,0.28,CHC,0,0,Unknown,UNK,0,0,0,0,0,0
0,1,0,-0.16,0.89,0.03,CHC,0,0,Pitch Out,PO,0,0,2263,0,93.4,0
0.36,988,25.81,-0.37,1.29,33.23,CHW,50.61,23.36,4-Seam Fastball,FF,19.87,0.26,2289.07,83.99,94.49,68.8
0.24,580,32.76,0.09,0.18,19.51,CHW,44.66,28.66,Slider,SL,37.07,0.14,2372.53,83.44,85.48,64.48
0.29,362,20.44,-0.78,0.57,12.18,CHW,34.81,33.05,Changeup,CH,24.31,0.21,1730.83,79.43,85.98,81.75
0.37,330,26.97,-0.75,0.66,11.1,CHW,53.64,22.88,Sinker,SI,12.14,0.25,2229.88,85.26,93.61,59.32
0.38,278,26.98,0.13,0.69,9.35,CHW,53.96,23.44,Cutter,FC,22.79,0.25,2420.08,84.65,90.44,70.67
0.27,229,26.2,0.57,0.09,7.7,CHW,42.36,19.7,Sweeper,ST,27.27,0.16,2647.98,77.39,80.99,63.92
0.24,130,20.77,0.57,-0.8,4.37,CHW,32.31,26.14,Curveball,CU,24,0.16,2595.32,76.64,79.94,64.29
0.39,45,24.44,-0.88,0.51,1.51,CHW,33.33,33.33,Split-Finger,FS,26.32,0.3,1407.82,81.23,85.14,60
0.62,16,37.5,1.28,-1.01,0.54,CHW,37.5,40,Slurve,SV,33.33,0,2556.38,77.1,80.76,33.33
0.27,8,25,-1,0.1,0.27,CHW,12.5,28.57,Forkball,FO,66.67,0.5,1305.38,99.1,82.52,100
0,7,0,0,0,0.24,CHW,0,0,Unknown,UNK,0,0,0,0,0,0
0.34,836,27.27,-0.17,1.3,28.02,CIN,49.88,25.06,4-Seam Fastball,FF,21.13,0.24,2331.41,84.5,93.92,67.87
0.28,638,32.13,-0.48,0.55,21.38,CIN,59.72,23.35,Sinker,SI,16.96,0.22,2209.05,83.73,94.64,60.1
0.28,391,23.27,-0.26,0.29,13.1,CIN,34.02,37.21,Changeup,CH,32.34,0.33,1770.85,79.89,87.05,78.95
0.29,276,33.33,0.33,0.11,9.25,CIN,42.75,27.85,Slider,SL,38.79,0.16,2388.98,81.94,86.08,61.02
0.37,266,30.45,0.67,0.16,8.91,CIN,48.12,23.91,Sweeper,ST,28.04,0.32,2627.7,78.6,83.77,57.81
0.23,246,23.58,-0.41,0.33,8.24,CIN,30.08,31.98,Split-Finger,FS,36.52,0.22,1316.89,79.52,83.96,81.08
0.58,138,30.43,0.12,0.75,4.62,CIN,53.62,26.56,Cutter,FC,10.94,0.31,2491.68,84.74,90.46,63.51
0.24,121,31.4,0.37,-0.87,4.05,CIN,38.84,31.08,Curveball,CU,28.57,0.16,2692.04,82.63,79.67,55.32
0.37,64,26.56,-0.01,-0.34,2.14,CIN,51.56,32.26,Slurve,SV,22.58,0.21,2615.56,83.92,80.26,63.64
0,8,0,0,0,0.27,CIN,0,0,Unknown,UNK,0,0,0,0,0,0
0.33,785,23.82,-0.5,1.11,29.96,CLE,56.69,24.41,4-Seam Fastball,FF,12.43,0.27,2303.11,83.42,94.88,66.29
0.36,441,26.08,-0.4,0.57,16.83,CLE,59.86,14.12,Sinker,SI,6.91,0.33,2223.92,84.44,93.76,61.74
0.26,359,22.84,-0.59,0.28,13.7,CLE,40.11,37.21,Changeup,CH,20.22,0.24,1796.75,83.3,86.01,71.53
0.23,328,28.05,0.02,0.12,12.52,CLE,43.29,33.87,Slider,SL,23.68,0.23,2361.33,82.43,86.97,62.68
0.28,219,24.2,0.18,0.15,8.36,CLE,36.07,30,Sweeper,ST,28.12,0.2,2640.73,78.9,82.13,68.35
0.4,192,20.31,0.06,0.61,7.33,CLE,55.73,20,Cutter,FC,15.38,0.31,2354.4,79.96,90.6,81.31
0.23,189,32.28,0.76,-0.69,7.21,CLE,40.21,40.71,Curveball,CU,22.62,0.3,2739.11,81.78,79.7,50
