K%,PA,AVG,BB%,ISO,OBP,OPS,SLG,team,wOBA,wRC+,BABIP,OCon%,ZCon%,xwOBA,Chase%,SwStr%,Barrel%,HardHit%,player_name,Launch Angle
0.28,118,0.25,0.05,0.21,0.3,0.76,0.46,LAA,0.33,109,0.31,,,0.27,,,,,Oswald Peraza,
0.28,118,0.31,0.08,0.44,0.36,1.1,0.74,BAL,0.47,200,0.32,,,0.31,,,,,Coby Mayo,
0.25,117,0.21,0.15,0.18,0.34,0.74,0.4,ATL,0.33,108,0.26,,,0.36,,,,,Ronald Acuña Jr.,
0.18,116,0.33,0.13,0.21,0.41,0.95,0.54,CHC,0.41,165,0.37,,,0.31,,,,,Carson Kelly,
0.19,116,0.23,0.14,0.23,0.35,0.81,0.46,HOU,0.36,125,0.24,,,0.3,,,,,Christian Walker,
0.1,115,0.24,0.03,0.13,0.27,0.64,0.37,ATH,0.28,75,0.25,,,0.28,,,,,Jacob Wilson,
0.22,115,0.24,0.11,0.13,0.33,0.7,0.37,NYM,0.31,98,0.29,,,0.3,,,,,Marcus Semien,
0.22,114,0.26,0.05,0.21,0.3,0.76,0.46,MIN,0.33,110,0.29,,,0.33,,,,,Kody Clemens,
0.13,114,0.33,0.05,0.19,0.37,0.89,0.52,MIA,0.38,146,0.37,,,0.28,,,,,Javier Sanoja,
0.21,113,0.26,0.06,0.14,0.32,0.72,0.4,PHI,0.32,100,0.31,,,0.33,,,,,Edmundo Sosa,
0.14,113,0.25,0.08,0.05,0.32,0.62,0.3,PIT,0.28,77,0.3,,,0.29,,,,,Jared Triolo,
0.29,112,0.24,0.11,0.2,0.33,0.77,0.44,BOS,0.34,115,0.31,,,0.33,,,,,Jahmai Jones,
0.24,112,0.23,0.09,0.11,0.3,0.64,0.34,MIL,0.29,80,0.3,,,0.29,,,,,Joey Ortiz,
0.2,112,0.26,0.04,0.13,0.3,0.69,0.4,TBR,0.3,91,0.32,,,0.28,,,,,Jonny DeLuca,
0.25,112,0.29,0.07,0.2,0.36,0.84,0.48,SDP,0.36,129,0.35,,,0.33,,,,,Ty France,
0.15,111,0.28,0.02,0.16,0.29,0.73,0.44,CLE,0.32,99,0.3,,,0.3,,,,,Angel Martínez,
0.24,111,0.3,0.11,0.28,0.38,0.95,0.57,TEX,0.41,162,0.35,,,0.32,,,,,Justin Foscue,
0.35,110,0.24,0.05,0.22,0.28,0.74,0.46,PHI,0.32,102,0.32,,,0.29,,,,,Derek Hill,
0.35,110,0.16,0.18,0.14,0.31,0.61,0.3,CLE,0.29,79,0.21,,,0.26,,,,,David Fry,
0.26,110,0.22,0.1,0.14,0.3,0.65,0.35,ATH,0.29,85,0.28,,,0.31,,,,,Lawrence Butler,
0.2,110,0.24,0.05,0.12,0.3,0.66,0.36,TOR,0.3,85,0.3,,,0.29,,,,,Daulton Varsho,
