ERA,FIP,HR9,OPS,xFIP,K_pct,stale,BB_pct,F5_ERA,avg_IP,starts,away_ERA,home_ERA,OOR_faced,wRC_faced,PALS_faced,l14_starts,pitcher_id,ABQ_allowed,OBR_allowed,OSI_allowed,RCV_allowed,avg_pitches,data_source,low_osi_ERA,high_osi_ERA,pitcher_hand,pitcher_name,pitcher_team,staleness_warning
13.5,11.83,0,,7.59,25,FALSE,0,12.6,0.67,1,13.5,,30.4,94.8,52.1,0,656457,32.1,31,35.9,44.1,17,season,13.5,,R,Tyler Gilbert,CHW,Fewer than 2 L14 starts (0) -- using season data.
3.15,4.42,1.58,,3.65,23.8,FALSE,6.1,3.82,5.71,16,3.18,3.12,50.6,100.1,53.8,0,656492,49.3,49,51,54.5,92.3,season,4.13,1.8,R,Foster Griffin,WSN,Fewer than 2 L14 starts (0) -- using season data.
4.17,5.41,1.72,,4.62,20.2,FALSE,11.5,4.8,4.89,15,4.08,4.26,41,95.8,51.2,0,656550,43.3,37.4,41.6,45.3,80.7,season,3.88,4.5,R,Grant Holmes,ATL,Fewer than 2 L14 starts (0) -- using season data.
4.89,4.16,0.92,,4.46,18.2,FALSE,8.4,5.18,5.52,16,3.96,5.62,50.2,101.6,50.5,0,656605,51.3,49.5,51.6,54.3,89.1,season,3.48,11.25,R,Mitch Keller,PIT,Fewer than 2 L14 starts (0) -- using season data.
0,2.4,0,,3.31,21.4,FALSE,7.1,0,4,1,0,,30.4,94.8,52.1,0,656641,32.1,31,35.9,44.1,68,season,0,,R,Jacob Latz,TEX,Fewer than 2 L14 starts (0) -- using season data.
0,2.52,0,,3.4,44.4,FALSE,0,1.8,3,1,0,,45.9,97.7,33.9,0,656794,42.2,32.4,41.7,51.8,42,season,0,,R,Sean Newcomb,CHW,Fewer than 2 L14 starts (0) -- using season data.
7.71,3.85,0.48,,4.05,20.7,FALSE,11.4,8.1,4.67,8,6.87,8.53,58.4,101.3,58.5,0,656849,48.4,51.1,53.1,58.8,81.1,season,9.82,7.2,R,David Peterson,NYM,Fewer than 2 L14 starts (0) -- using season data.
2.62,2.99,0.94,,2.9,26.8,FALSE,4.5,3.24,5.73,15,2.36,2.9,49.9,103.7,57.4,0,656876,51,46.2,50.8,55.8,87.1,season,3.35,0.45,R,Drew Rasmussen,TBR,Fewer than 2 L14 starts (0) -- using season data.
3.35,3.07,0.54,,3.51,20.8,FALSE,5.9,4.43,6.41,13,2.84,3.92,54.6,101.3,61.8,0,657277,48,54.7,53.5,56,93.8,season,3.47,4.05,R,Logan Webb,SFG,Fewer than 2 L14 starts (0) -- using season data.
20.25,3.55,6.75,,4.1,10,FALSE,20,9,0.67,2,,20.25,39.3,98.8,48.8,0,657514,26.6,27.1,30.4,36.8,22,season,20.25,,R,Brennan Bernardino,COL,Fewer than 2 L14 starts (0) -- using season data.
3.18,2.81,0.87,,3.39,28.5,FALSE,5,3.6,5.49,17,3.15,3.21,52.9,101.4,52.8,0,657746,49.8,48.6,51.3,55.3,89.9,season,2.53,6,R,Joe Ryan,MIN,Fewer than 2 L14 starts (0) -- using season data.
1.58,2.56,0.34,,3.31,27.5,FALSE,7.7,2.08,6.13,13,1.48,1.7,36.2,99.5,45.9,0,660271,47.2,33.1,41.9,48,94.2,season,1.21,,R,Shohei Ohtani,LAD,Fewer than 2 L14 starts (0) -- using season data.
6.05,8.38,2.79,,6.35,10.6,FALSE,12.9,6.3,4.83,4,5.65,7.2,30.7,98.3,38,0,661563,45.6,27.7,36,38.6,84.2,season,6.05,,R,Luis Gil,NYY,Fewer than 2 L14 starts (0) -- using season data.
9.88,5.16,1.98,,4.49,11.6,FALSE,7.2,10.2,4.56,3,12.46,5.4,38.6,101.4,43.8,0,663362,43.1,48.8,45.4,43.1,82,season,12.46,5.4,R,Matt Waldron,SDP,Fewer than 2 L14 starts (0) -- using season data.
4.79,4.89,1.34,,4.58,17.7,FALSE,10.1,4.86,4.7,10,6.17,4.33,52.6,102,57.8,0,663372,42,40.1,41.2,41.9,74.2,season,4.78,6.14,R,Ryan Feltner,COL,Fewer than 2 L14 starts (0) -- using season data.
3.18,2.93,0.62,,3.39,24.3,FALSE,6.4,3.6,5.84,15,4.67,1.01,47.1,102.2,48.3,0,663436,46,41,48.9,59.9,90.9,season,1.84,9.64,R,Davis Martin,CHW,Fewer than 2 L14 starts (0) -- using season data.
4.11,3.72,0.72,,4.14,24.6,FALSE,12.6,4.4,5.59,9,5.23,3.34,56.3,103.7,49.5,0,663460,44.2,50.7,54.5,66.1,90.1,season,4.67,,R,Kris Bubic,KCR,Fewer than 2 L14 starts (0) -- using season data.
1.5,3.08,1.5,,4.18,23.8,FALSE,4.8,5.04,1.2,5,0,3,72.4,108.4,71.7,0,663542,53.9,64.3,66.2,77.1,15.4,season,0,3.37,R,Bryan Hudson,CHW,Fewer than 2 L14 starts (0) -- using season data.
2.95,2.77,0.62,,3.76,25.1,FALSE,6.1,2.62,5.27,11,4.12,2.12,39.9,99.7,49,0,663554,46,35.7,42.6,47.9,80,season,1.93,6.35,R,Casey Mize,DET,Fewer than 2 L14 starts (0) -- using season data.
3.3,3.4,0.73,,3.89,23.4,FALSE,9,3.84,4.91,15,4.38,2.21,53.5,105.3,58.8,0,663556,49.4,48.7,53.6,62.3,79.1,season,2.64,4.7,R,Shane McClanahan,TBR,Fewer than 2 L14 starts (0) -- using season data.
18.69,9.1,6.23,,5.89,7.1,FALSE,10.7,10.8,2.17,2,,18.69,47.8,97.5,57.1,0,663559,42.9,51.7,47.6,46.1,42,season,9,27,R,Bailey Falter,KCR,Fewer than 2 L14 starts (0) -- using season data.
3.28,4.01,0.92,,4.44,22.5,FALSE,9.8,3.45,5.72,12,3.08,3.4,53.3,105.2,51,0,663567,48.8,48.1,51.1,56.2,94.1,season,3.16,2.25,R,Peter Lambert,HOU,Fewer than 2 L14 starts (0) -- using season data.
4.15,4.54,1.38,,4.04,16,FALSE,5.2,6,5.78,9,4.3,4.03,48.4,100.7,45,0,663568,44.5,47.7,48.8,53.1,87.3,season,2.29,,R,Stephen Kolek,KCR,Fewer than 2 L14 starts (0) -- using season data.
5.23,4.24,1.22,,4.19,25.4,FALSE,9.6,5.73,4.7,11,3.77,7.04,62.9,105.1,54.5,0,663623,51.7,62.8,59.2,60.4,86.3,season,5.29,8,R,Jake Irvin,WSN,Fewer than 2 L14 starts (0) -- using season data.
