player_id,full_name,team,team_abbr,position,position_type,bats,throws,jersey_number,status
693307,Dillon Dingler,Detroit Tigers,DET,C,C,R,R,13,active
680664,Eduardo Valencia,Detroit Tigers,DET,DH,DH,R,R,32,active
701162,Ben Malgeri,Detroit Tigers,DET,RF,OF,R,R,53,active
814430,Brett Callahan,Detroit Tigers,DET,LF,OF,L,R,34,active
667452,Corey Julks,Detroit Tigers,DET,LF,OF,R,R,44,active
703601,Max Clark,Detroit Tigers,DET,CF,OF,L,L,15,active
656716,Zach McKinstry,Detroit Tigers,DET,RF,OF,L,R,39,active
808825,Andrew Sears,Detroit Tigers,DET,P,RP,L,L,64,active
623454,Drew Anderson,Detroit Tigers,DET,P,RP,R,R,38,active
805427,Drew Sommers,Detroit Tigers,DET,P,RP,L,L,51,active
664285,Framber Valdez,Detroit Tigers,DET,P,RP,R,L,59,active
695549,Jackson Jobe,Detroit Tigers,DET,P,RP,R,R,21,active
621097,Jacob Waguespack,Detroit Tigers,DET,P,RP,R,R,58,active
672456,Keider Montero,Detroit Tigers,DET,P,RP,R,R,54,active
445276,Kenley Jansen,Detroit Tigers,DET,P,RP,S,R,74,active
640448,Kyle Finnegan,Detroit Tigers,DET,P,RP,R,R,67,active
663432,Tanner Rainey,Detroit Tigers,DET,P,RP,R,R,56,active
675512,Troy Melton,Detroit Tigers,DET,P,RP,R,R,52,active
663947,Tyler Holton,Detroit Tigers,DET,P,RP,L,L,87,active
641755,Tyler Kinley,Detroit Tigers,DET,P,RP,R,R,55,active
595879,Javier Báez,Detroit Tigers,DET,SS,SS,R,R,28,active
805808,Kevin McGonigle,Detroit Tigers,DET,SS,SS,L,R,7,active
572233,Christian Walker,Houston Astros,HOU,1B,1B,R,R,8,active
514888,Jose Altuve,Houston Astros,HOU,2B,2B,R,R,27,active
670623,Isaac Paredes,Houston Astros,HOU,3B,3B,R,R,15,active
543877,Christian Vázquez,Houston Astros,HOU,C,C,R,R,2,active
673237,Yainer Diaz,Houston Astros,HOU,C,C,R,R,21,active
670541,Yordan Alvarez,Houston Astros,HOU,DH,DH,L,R,44,active
701358,Cam Smith,Houston Astros,HOU,RF,OF,R,R,11,active
662139,Daulton Varsho,Houston Astros,HOU,CF,OF,L,R,18,active
664774,LaMonte Wade Jr.,Houston Astros,HOU,LF,OF,L,L,31,active
676369,Nelson Velázquez,Houston Astros,HOU,LF,OF,R,R,30,active
666211,Taylor Trammell,Houston Astros,HOU,CF,OF,L,L,26,active
805123,AJ Blubaugh,Houston Astros,HOU,P,RP,R,R,69,active
656986,Bennett Sousa,Houston Astros,HOU,P,RP,L,L,62,active
650556,Bryan Abreu,Houston Astros,HOU,P,RP,R,R,52,active
664299,Cristian Javier,Houston Astros,HOU,P,RP,R,R,53,active
660853,Enyel De Los Santos,Houston Astros,HOU,P,RP,R,R,65,active
814490,Ethan Pecko,Houston Astros,HOU,P,RP,R,R,70,active
669713,Hayden Wesneski,Houston Astros,HOU,P,RP,R,R,39,active
686613,Hunter Brown,Houston Astros,HOU,P,RP,R,R,58,active
623352,Josh Hader,Houston Astros,HOU,P,RP,L,L,71,active
678906,Kai-Wei Teng,Houston Astros,HOU,P,RP,R,R,17,active
663567,Peter Lambert,Houston Astros,HOU,P,RP,R,R,38,active
595345,Steven Okert,Houston Astros,HOU,P,RP,L,L,48,active
837227,Tatsuya Imai,Houston Astros,HOU,P,RP,R,R,45,active
665161,Jeremy Peña,Houston Astros,HOU,SS,SS,R,R,3,active
669397,Nick Allen,Houston Astros,HOU,SS,SS,R,R,20,active
686469,Vinnie Pasquantino,Kansas City Royals,KCR,1B,1B,L,L,9,active
668942,Josh Rojas,Kansas City Royals,KCR,3B,3B,L,R,40,active
679845,Nick Loftin,Kansas City Royals,KCR,3B,3B,R,R,12,active
695600,Carter Jensen,Kansas City Royals,KCR,C,C,L,R,22,active
571912,Luke Maile,Kansas City Royals,KCR,C,C,R,R,18,active
521692,Salvador Perez,Kansas City Royals,KCR,DH,DH,R,R,13,active
686555,Isaac Collins,Kansas City Royals,KCR,LF,OF,S,R,1,active
695506,Jac Caglianone,Kansas City Royals,KCR,RF,OF,L,L,14,active
670231,John Rave,Kansas City Royals,KCR,RF,OF,L,L,16,active
664728,Kyle Isbel,Kansas City Royals,KCR,CF,OF,L,R,28,active
683090,Matthew Lugo,Kansas City Royals,KCR,LF,OF,R,R,24,active
656638,Alex Lange,Kansas City Royals,KCR,P,RP,R,R,56,active
543238,Anthony Gose,Kansas City Royals,KCR,P,RP,L,L,34,active
671162,Connor Thomas,Kansas City Royals,KCR,P,RP,L,L,50,active
518886,Craig Kimbrel,Kansas City Royals,KCR,P,RP,R,R,26,active
663738,Daniel Lynch IV,Kansas City Royals,KCR,P,RP,L,L,41,active
670167,John Schreiber,Kansas City Royals,KCR,P,RP,R,R,46,active
621016,Jose Cuas,Kansas City Royals,KCR,P,RP,R,R,74,active
608379,Michael Wacha,Kansas City Royals,KCR,P,RP,R,R,52,active
663878,Nate Pearson,Kansas City Royals,KCR,P,RP,R,R,61,active
702070,Noah Cameron,Kansas City Royals,KCR,P,RP,L,L,65,active
677976,Randy Dobnak,Kansas City Royals,KCR,P,RP,R,R,62,active
607625,Seth Lugo,Kansas City Royals,KCR,P,RP,R,R,67,active
674444,Steven Cruz,Kansas City Royals,KCR,P,RP,R,R,64,active
677951,Bobby Witt Jr.,Kansas City Royals,KCR,SS,SS,R,R,7,active
686475,Tyler Tolbert,Kansas City Royals,KCR,SS,SS,R,R,2,active
624428,Adam Frazier,Los Angeles Angels,LAA,2B,2B,L,R,20,active
695681,Christian Moore,Los Angeles Angels,LAA,2B,2B,R,R,4,active
672724,Oswald Peraza,Los Angeles Angels,LAA,2B,2B,R,R,2,active
687093,Vaughn Grissom,Los Angeles Angels,LAA,2B,2B,R,R,5,active
694203,Denzer Guzman,Los Angeles Angels,LAA,3B,3B,R,R,23,active
518595,Travis d'Arnaud,Los Angeles Angels,LAA,C,C,R,R,25,active
623168,Tyler Heineman,Los Angeles Angels,LAA,C,C,S,R,31,active
694208,Moisés Ballesteros,Los Angeles Angels,LAA,DH,DH,L,R,13,active
642350,Jose Siri,Los Angeles Angels,LAA,CF,OF,R,R,28,active
666139,Josh Lowe,Los Angeles Angels,LAA,LF,OF,L,R,3,active
545361,Mike Trout,Los Angeles Angels,LAA,CF,OF,R,R,27,active
685133,Wade Meckler,Los Angeles Angels,LAA,LF,OF,L,R,53,active
690829,Ben Joyce,Los Angeles Angels,LAA,P,RP,R,R,44,active
676620,Blake Weiman,Los Angeles Angels,LAA,P,RP,R,L,68,active
680570,Grayson Rodriguez,Los Angeles Angels,LAA,P,RP,L,R,21,active
820862,José Fermin,Los Angeles Angels,LAA,P,RP,R,R,65,active
684665,Luke Murphy,Los Angeles Angels,LAA,P,RP,R,R,72,active
815083,Mitch Farris,Los Angeles Angels,LAA,P,RP,L,L,70,active
672282,Reid Detmers,Los Angeles Angels,LAA,P,RP,L,L,48,active
696270,Ryan Johnson,Los Angeles Angels,LAA,P,RP,S,R,32,active
670245,Ryan Watson,Los Angeles Angels,LAA,P,RP,R,R,56,active
671111,Sammy Peralta,Los Angeles Angels,LAA,P,RP,L,L,67,active
642048,Tayler Saucedo,Los Angeles Angels,LAA,P,RP,L,L,55,active
700712,Walbert Ureña,Los Angeles Angels,LAA,P,RP,R,R,57,active
579328,Yusei Kikuchi,Los Angeles Angels,LAA,P,RP,L,L,16,active
687263,Zach Neto,Los Angeles Angels,LAA,SS,SS,R,R,9,active
